=== ISIMLER.JSON GENISLETME DETAYLI RAPOR ===
Onceki: 246, Sonraki: 632
Eklenen: 386 (E:191 K:174 U:21)
Klasik etymon: 202, Algoritmik: 184

=== EKLENEN ISIMLER (alfabetik) ===
key | arapca | ebced | cinsiyet | kaynak
fazıl | فاضل | 911 | e | klasik-etymon
fevziye | فوزية | 108 | k | klasik-etymon
feyzi | فيضي | 900 | e | klasik-etymon
fitnat | فطنت | 539 | k | klasik-etymon
fulya | فوليا | 127 | k | algoritmik
gıyasettin | غياث الدين | 1606 | e | klasik-etymon
gökçe | كوكجا | 50 | k | algoritmik
göktuğ | كوكتوغ | 1452 | e | algoritmik
görkem | كوركام | 287 | u | algoritmik
gözde | كوزدا | 38 | k | algoritmik
güçlü | كوجلو | 65 | e | algoritmik
güler | كولار | 257 | k | algoritmik
gülnaz | گلناز | 88 | k | klasik-etymon
gülnur | گل نور | 286 | k | klasik-etymon
gülsen | كولسان | 167 | k | algoritmik
gülsüm | كلثوم | 596 | k | klasik-etymon
habib | حبيب | 22 | e | klasik-etymon
habibe | حبيبة | 27 | k | klasik-etymon
habil | هابيل | 48 | e | klasik-etymon
hadice | خديجة | 622 | k | klasik-etymon
hafız | حافظ | 989 | e | klasik-etymon
hakanalp | هاكانالب | 110 | e | algoritmik
hakkı | حقي | 118 | e | klasik-etymon
halide | خالدة | 640 | k | klasik-etymon
hamide | حميدة | 67 | k | klasik-etymon
hanım | خانم | 691 | k | klasik-etymon
hayrunisa | خير النساء | 953 | k | klasik-etymon
hızır | خضر | 1600 | e | klasik-etymon
hilmi | حلمي | 88 | e | klasik-etymon
hudai | هدائي | 30 | e | klasik-etymon
hulusi | خلوصي | 736 | e | klasik-etymon
humeyra | حميراء | 260 | k | klasik-etymon
hürrem | خرم | 840 | k | klasik-etymon
iclal | يجلال | 74 | k | algoritmik
idil | يديل | 54 | k | algoritmik
ihsan | إحسان | 120 | e | klasik-etymon
ilayda | يلايدا | 56 | k | algoritmik
ilgin | يلكين | 120 | k | algoritmik
ilkay | يلكاي | 71 | u | algoritmik
ilke | يلكا | 61 | u | algoritmik
ilkim | يلكيم | 110 | k | algoritmik
ilkin | يلكين | 120 | k | algoritmik
ilknur | إيلك نور | 317 | k | klasik-etymon
ilyas | إلياس | 102 | e | klasik-etymon
imam | إمام | 82 | e | klasik-etymon
imran | عمران | 361 | e | klasik-etymon
inci | ينجي | 73 | k | algoritmik
irmak | يرماك | 271 | u | algoritmik
ishak | إسحاق | 170 | e | klasik-etymon
ismet | عصمت | 600 | e | klasik-etymon
işıl | يشل | 340 | k | algoritmik
işın | يشن | 360 | k | algoritmik
kamil | كامل | 91 | e | klasik-etymon
kasım | قاسم | 201 | e | klasik-etymon
kaya | قايا | 112 | e | klasik-etymon
kenan | كنعان | 191 | e | klasik-etymon
kerime | كريمة | 275 | k | klasik-etymon
kıvılcım | كولجم | 99 | k | algoritmik
korkut | قورقوت | 812 | e | klasik-etymon
kuzey | كوزاي | 44 | u | algoritmik
lamia | لامعة | 146 | k | klasik-etymon
lara | لارا | 232 | k | algoritmik
latife | لطيفة | 134 | k | klasik-etymon
lütfi | لطفي | 129 | e | klasik-etymon
mahinur | ماه نور | 302 | k | klasik-etymon
mahir | ماهر | 246 | e | klasik-etymon
mansur | منصور | 386 | e | klasik-etymon
masum | معصوم | 246 | e | klasik-etymon
mavi | ماوي | 57 | u | algoritmik
mecit | مجيد | 57 | e | klasik-etymon
mehdi | مهدي | 59 | e | klasik-etymon
mehlika | مه ليقا | 186 | k | klasik-etymon
mehmet ali | محمد علي | 202 | e | klasik-etymon
mehtap | ماهتاب | 449 | k | algoritmik
melis | ماليس | 141 | k | algoritmik
melisa | ماليسا | 142 | k | algoritmik
meltem | مالتام | 512 | k | algoritmik
mercan | مارجان | 295 | k | algoritmik
mete han | ماتاهان | 498 | e | algoritmik
mihriban | مهربان | 298 | k | klasik-etymon
mira | ميرا | 251 | k | algoritmik
miraç | معراج | 314 | e | klasik-etymon
miray | ميراي | 261 | k | algoritmik
mithat | ميتهات | 856 | e | algoritmik
mualla | معلى | 150 | k | klasik-etymon
muammer | معمر | 350 | e | klasik-etymon
muazzez | معززة | 129 | k | klasik-etymon
muhittin | محيي الدين | 163 | e | klasik-etymon
muhsin | محسن | 158 | e | klasik-etymon
muhyiddin | محيي الدين | 163 | e | klasik-etymon
mübeccel | مبجلة | 80 | k | klasik-etymon
mücahit | مجاهد | 53 | e | klasik-etymon
müjdat | مژدات | 445 | e | klasik-etymon
mümin | مؤمن | 136 | e | klasik-etymon
münevver | منورة | 301 | k | klasik-etymon
münir | منير | 300 | e | klasik-etymon
müzeyyen | مزينة | 112 | k | klasik-etymon
nail | نائل | 91 | e | klasik-etymon
naim | نعيم | 170 | e | klasik-etymon
naz | ناز | 58 | k | algoritmik
nazan | نازان | 109 | k | algoritmik
nazif | نظيف | 1040 | e | klasik-etymon
nazife | نظيفة | 1045 | k | klasik-etymon
nebi | نبي | 62 | e | klasik-etymon
nedim | نديم | 104 | e | klasik-etymon
nehir | ناهير | 266 | k | algoritmik
nejat | نجاة | 59 | e | klasik-etymon
nida | نيدا | 65 | k | algoritmik
nil | نيل | 90 | k | algoritmik
nilay | نيلاي | 101 | k | algoritmik
nimet | نعمة | 165 | k | klasik-etymon
nisa | نيسا | 121 | k | algoritmik
niyazi | نيازي | 78 | e | klasik-etymon
nuh | نوح | 64 | e | klasik-etymon
numan | نعمان | 211 | e | klasik-etymon
nuray | نور آي | 267 | k | klasik-etymon
nurettin | نور الدين | 351 | e | klasik-etymon
nurgül | نور گل | 286 | k | klasik-etymon
nurhan | نور خان | 907 | k | klasik-etymon
nuriye | نورية | 271 | k | klasik-etymon
nurten | نور تن | 706 | k | klasik-etymon
nurullah | نور الله | 322 | e | klasik-etymon
nusret | نصرت | 740 | e | klasik-etymon
oğuzhan | وغوزهان | 1075 | e | algoritmik
onur can | ونورجان | 316 | e | algoritmik
orkun | وركون | 282 | e | algoritmik
osman ali | وسمانالي | 198 | e | algoritmik
öykü | ويكو | 42 | k | algoritmik
özge | وزكا | 34 | k | algoritmik
pelinsu | بالينسو | 159 | k | algoritmik
pervin | باروين | 269 | k | algoritmik
petek | باتاك | 424 | k | algoritmik
pırıl | برل | 232 | k | algoritmik
pırlanta | برلانتا | 684 | k | algoritmik
polat | بولات | 439 | e | algoritmik
poyraz | بويراز | 226 | e | algoritmik
rahmi | رحمي | 258 | e | klasik-etymon
raif | رائف | 291 | e | klasik-etymon
ramadan | رمضان | 1091 | e | klasik-etymon
rana | رعنا | 321 | k | klasik-etymon
raşit | راشد | 505 | e | klasik-etymon
rauf | رؤوف | 292 | e | klasik-etymon
ravza | روضة | 1011 | k | klasik-etymon
refik | رفيق | 390 | e | klasik-etymon
remzi | رمزي | 257 | e | klasik-etymon
reşit | رشيد | 514 | e | klasik-etymon
reyhan | ريحان | 269 | k | klasik-etymon
ruhi | روحي | 224 | e | klasik-etymon
rüstem | رستم | 700 | e | klasik-etymon
rüveyda | رويدا | 221 | k | klasik-etymon
rüya | رويا | 217 | k | algoritmik
rüzgar | روزكار | 434 | u | algoritmik
saffet | صفوت | 576 | e | klasik-etymon
safiye | صفية | 185 | k | klasik-etymon
sait | سعيد | 144 | e | klasik-etymon
salim | سالم | 131 | e | klasik-etymon
saniye | ثانية | 566 | k | klasik-etymon
sarp | سارب | 263 | e | algoritmik
seda | سادا | 66 | k | algoritmik
sedat | سداد | 69 | e | klasik-etymon
sedef | ساداف | 146 | k | algoritmik
selçuk | سالجوك | 120 | e | algoritmik
sevcan | ساوجان | 121 | k | algoritmik
sevde | سودة | 75 | k | klasik-etymon
sevil | ساويل | 107 | k | algoritmik
sevtap | ساوتاب | 470 | k | algoritmik
seyfettin | سيف الدين | 245 | e | klasik-etymon
seyit | سيد | 74 | e | klasik-etymon
sezer | سازار | 269 | e | algoritmik
sıddık | صديق | 204 | e | klasik-etymon
sıdıka | صديقة | 209 | k | klasik-etymon
sıla | سلا | 91 | u | algoritmik
sıtkı | صدقي | 204 | e | klasik-etymon
simay | سيماي | 121 | k | algoritmik
simge | سيمكا | 131 | k | algoritmik
sinem | سينام | 161 | k | algoritmik
su | سو | 66 | k | algoritmik
suat | سؤاد | 71 | e | klasik-etymon
subhi | صبحي | 110 | e | klasik-etymon
sude | سودا | 71 | k | algoritmik
suheyla | سهيلا | 106 | k | klasik-etymon
sungur | سونغور | 1322 | e | klasik-etymon
suzan | سوزان | 124 | k | algoritmik
sümeyra | سميراء | 312 | k | klasik-etymon
şebnem | شابنام | 394 | k | algoritmik
şefik | شفيق | 490 | e | klasik-etymon
şefika | شفيقة | 495 | k | klasik-etymon
şefkat | شفقت | 880 | k | klasik-etymon
şeref | شرف | 580 | e | klasik-etymon
şevval | شوال | 337 | k | klasik-etymon
şeyma | شيماء | 352 | k | klasik-etymon
şinasi | شناسي | 421 | e | klasik-etymon
şuayp | شعيب | 382 | e | klasik-etymon
taha | تاها | 407 | e | algoritmik
tahir | طاهر | 215 | e | klasik-etymon
talat | طلعت | 509 | e | klasik-etymon
talip | طالب | 42 | e | klasik-etymon
tara | تارا | 602 | k | algoritmik
tarkan | تاركان | 672 | e | algoritmik
tayyar | تايار | 612 | e | algoritmik
tekin | تاكين | 481 | e | algoritmik
tevfik | توفيق | 596 | e | klasik-etymon
tolgahan | تولكاهان | 513 | e | algoritmik
toprak | توبراك | 629 | u | algoritmik
tuana | توانا | 458 | k | algoritmik
tuba | توبا | 409 | k | algoritmik
tuğba | توغبا | 1409 | k | algoritmik
tuğra | توغرا | 1607 | e | algoritmik
tuna | تونا | 457 | u | algoritmik
turan | طوران | 266 | e | klasik-etymon
turgut | طورغوت | 1621 | e | klasik-etymon
tülay | تولاي | 447 | k | algoritmik
tülin | تولين | 496 | k | algoritmik
türkan | توركان | 677 | k | algoritmik
ubeyd | عبيد | 86 | e | klasik-etymon
ulaş | ولاش | 337 | e | algoritmik
uras | وراس | 267 | e | algoritmik
ümmü | أم | 41 | k | klasik-etymon
ümmühan | أم خان | 692 | k | klasik-etymon
ümran | عمران | 361 | k | klasik-etymon
vahdet | وحدت | 418 | e | klasik-etymon
vasfi | وصفي | 186 | e | klasik-etymon
vasıf | وصاف | 177 | e | klasik-etymon
vehbi | وهبي | 23 | e | klasik-etymon
vesile | وسيلة | 111 | k | klasik-etymon
veysel | ويسل | 106 | e | klasik-etymon
veysi | ويسي | 86 | e | klasik-etymon
yağız | ياغز | 1018 | e | algoritmik
yağmur | ياغمور | 1257 | u | algoritmik
yahşi | ياخشي | 921 | e | klasik-etymon
yaman | يامان | 102 | e | algoritmik
yaren | ياران | 262 | u | algoritmik
yaşar | ياشار | 512 | e | klasik-etymon
yelda | يالدا | 46 | k | algoritmik
yıldırım | يلدرم | 284 | e | klasik-etymon
yıldız | يلدز | 51 | k | algoritmik
yiğit | يغيت | 1420 | e | algoritmik
zeren | زاران | 259 | k | algoritmik
zerrin | زرين | 267 | k | klasik-etymon
zeyd | زيد | 21 | e | klasik-etymon
zihni | ذهني | 765 | e | klasik-etymon
zübeyir | زبير | 219 | e | klasik-etymon
zühal | زحل | 45 | k | klasik-etymon
zühre | زهرة | 217 | k | klasik-etymon
züleyha | زليخا | 648 | k | klasik-etymon
zümra | زمراء | 249 | k | klasik-etymon

=== ATLANAN CAKISMALAR ===
Toplam: 31
  halid (sebep: mevcut-norm, liste: klasik)
  hamza (sebep: mevcut-norm, liste: klasik)
  kazım (sebep: mevcut-norm, liste: klasik)
  nazım (sebep: mevcut-norm, liste: klasik)
  nizamettin (sebep: mevcut-norm, liste: klasik)
  rifat (sebep: mevcut-norm, liste: klasik)
  şaban (sebep: mevcut-norm, liste: klasik)
  yakup (sebep: mevcut-norm, liste: klasik)
  emine (sebep: mevcut-norm, liste: klasik)
  fadime (sebep: mevcut-norm, liste: klasik)
  hediye (sebep: mevcut-norm, liste: klasik)
  hümeyra (sebep: liste-ici-mukerrer, liste: klasik)
  rahime (sebep: mevcut-norm, liste: klasik)
  aysima (sebep: liste-ici-mukerrer, liste: turkce)
  ceyda (sebep: mevcut-norm, liste: turkce)
  cemre (sebep: mevcut-norm, liste: turkce)
  dilara (sebep: mevcut-norm, liste: turkce)
  ece (sebep: mevcut-norm, liste: turkce)
  ela (sebep: mevcut-norm, liste: turkce)
  gizem (sebep: mevcut-norm, liste: turkce)
  hilal (sebep: mevcut-norm, liste: turkce)
  ilkim (sebep: liste-ici-mukerrer, liste: turkce)
  zerrin (sebep: liste-ici-mukerrer, liste: turkce)
  ediz (sebep: mevcut-norm, liste: turkce)
  ege (sebep: mevcut-norm, liste: turkce)
  gökay (sebep: mevcut-norm, liste: turkce)
  kağan (sebep: mevcut-norm, liste: turkce)
  kayhan (sebep: mevcut-norm, liste: turkce)
  kemal (sebep: mevcut-norm, liste: turkce)
  ozan (sebep: mevcut-norm, liste: turkce)
  utku (sebep: mevcut-norm, liste: turkce)

=== 10 ORNEK ISIM (UTF-8 detay) ===
isim | kaynak | arapca | ebced | esma | fark
Cagla | sozluk | جاغلا | 1035 | Azîm (no:34) | 15
Berke | sozluk | باركا | 224 | Kebîr (no:38) | 8
Defne | sozluk | دافنا | 136 | Mü'min (no:7) | 1
Eylul | sozluk | ايلول | 77 | Hakîm (no:47) | 1
Kuzey | sozluk | كوزاي | 44 | Veliyy (no:56) | 2
Asaf | sozluk | آصف | 171 | Kuddûs (no:5) | 1
Beste | sozluk | باستا | 464 | Fettâh (no:19) | 25
Mert | sozluk | مرت | 640 | Müntakim (no:82) | 10
Sila | sozluk | سلا | 91 | Melik (no:4) | 1
Toprak | sozluk | توبراك | 629 | Müntakim (no:82) | 1
