=== KALIBRASYON RAPORU (detayli) ===
Toplam isim: 632
Ortalama mutlak fark: 110.88
Medyan fark: 3
Min: 0  Max: 1388
+-10:  413/632 (65.3%)
+-50:  446/632 (70.6%)
+-100: 509/632 (80.5%)
+-200: 518/632 (82.0%)

=== EN KOTU 10 (en yuksek fark) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
hızır | خضر | 1600 | هزر | 212 | 1388
gıyasettin | غياث الدين | 1606 | كياساتين | 552 | 1054
abdülgaffar | عبد الغفار | 1388 | ابدولكافار | 345 | 1043
abdülgani | عبد الغني | 1167 | ابدولكاني | 124 | 1043
ege | إيغه | 1016 | اكا | 22 | 994
ziya | ضياء | 1011 | زيا | 18 | 993
sungur | سونغور | 1322 | سونكور | 342 | 980
gamze | غمزة | 1047 | كامزا | 69 | 978
azime | عظيمة | 1025 | ازيما | 59 | 966
nazmiye | نظمية | 1005 | نازميا | 109 | 896

=== EN IYI 10 (en dusuk fark) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
yiğit | يغيت | 1420 | يغيت | 1420 | 0
yağız | ياغز | 1018 | ياغز | 1018 | 0
yaman | يامان | 102 | يامان | 102 | 0
uras | وراس | 267 | وراس | 267 | 0
ulaş | ولاش | 337 | ولاش | 337 | 0
tuna | تونا | 457 | تونا | 457 | 0
tuğra | توغرا | 1607 | توغرا | 1607 | 0
toprak | توبراك | 629 | توبراك | 629 | 0
tolgahan | تولكاهان | 513 | تولكاهان | 513 | 0
tekin | تاكين | 481 | تاكين | 481 | 0

=== TUM ISIMLER (alfabetik) ===
isim | sozlukAr | sozlukEbced | algoAr | algoEbced | fark
abdullah | عبدالله | 142 | ابدولاه | 49 | 93
abdullatif | عبد اللطيف | 236 | ابدولاتيف | 534 | 298
abdurrahman | عبدالرحمن | 401 | ابدوراهمان | 310 | 91
abdurrezzak | عبدالرزاق | 413 | ابدورازاك | 242 | 171
abdülaziz | عبدالعزيز | 199 | ابدولازيز | 68 | 131
abdülbaki | عبدالباقي | 218 | ابدولباكي | 76 | 142
abdülbasit | عبد الباسط | 179 | ابدولباسيت | 516 | 337
abdülcebbar | عبد الجبار | 313 | ابدولجابار | 250 | 63
abdülgaffar | عبد الغفار | 1388 | ابدولكافار | 345 | 1043
abdülgani | عبد الغني | 1167 | ابدولكاني | 124 | 1043
abdülhalim | عبد الحليم | 195 | ابدولهاليم | 129 | 66
abdülhamit | عبدالحميد | 167 | ابدولهاميت | 499 | 332
abdülkadir | عبدالقادر | 410 | ابدولكادير | 278 | 132
abdülmecit | عبد المجيد | 164 | ابدولماجيت | 497 | 333
abdülmelik | عبد الملك | 197 | ابدولماليك | 144 | 53
abdülvahit | عبد الواحد | 126 | ابدولواهيت | 465 | 339
abdüsselam | عبد السلام | 238 | ابدوسالام | 145 | 93
ada | ادا | 6 | ادا | 6 | 0
adem | آدم | 45 | ادام | 46 | 1
afet | آفت | 481 | افات | 482 | 1
ahmed | أحمد | 53 | اهماد | 51 | 2
ahmet | أحمد | 53 | اهمات | 447 | 394
ahmet kerim | اهماتكاريم | 718 | اهماتكاريم | 718 | 0
ahmet yusuf | اهماتيوسوف | 609 | اهماتيوسوف | 609 | 0
akif | عاكف | 171 | اكيف | 111 | 60
ali | علي | 110 | الي | 41 | 69
alp | الب | 33 | الب | 33 | 0
alparslan | ألب أرسلان | 423 | البارسلان | 375 | 48
alpay | الباي | 44 | الباي | 44 | 0
alper | ألبر | 233 | البار | 234 | 1
altan | التان | 482 | التان | 482 | 0
altay | التاي | 442 | التاي | 442 | 0
arda | اردا | 206 | اردا | 206 | 0
aren | اران | 252 | اران | 252 | 0
arif | عارف | 351 | اريف | 291 | 60
arzu | ارزو | 214 | ارزو | 214 | 0
asaf | آصف | 171 | اساف | 142 | 29
asım | عاصم | 201 | اسم | 101 | 100
asiye | آسية | 76 | اسيا | 72 | 4
aslan | اسلان | 142 | اسلان | 142 | 0
aslı | أصلي | 121 | اسل | 91 | 30
aslıhan | أصلهان | 712 | اسلهان | 147 | 565
asu | اسو | 67 | اسو | 67 | 0
ata | اتا | 402 | اتا | 402 | 0
ataberk | اتابارك | 625 | اتابارك | 625 | 0
atakan | اتاكان | 473 | اتاكان | 473 | 0
atalay | اتالاي | 443 | اتالاي | 443 | 0
atıf | عاطف | 160 | اتف | 481 | 321
atıl | اتل | 431 | اتل | 431 | 0
atilla | أتيلا | 442 | اتيلا | 442 | 0
atlas | اتلاس | 492 | اتلاس | 492 | 0
aybike | ايبيكا | 44 | ايبيكا | 44 | 0
ayda | آيدا | 16 | ايدا | 16 | 0
aydan | آيدان | 65 | ايدان | 66 | 1
aydanur | ايدانور | 272 | ايدانور | 272 | 0
ayfer | آيفر | 291 | ايفار | 292 | 1
ayhan | آيخان | 662 | ايهان | 67 | 595
ayla | ايلا | 42 | ايلا | 42 | 0
aylin | آيلين | 101 | ايلين | 101 | 0
aysel | آيسل | 101 | ايسال | 102 | 1
aysima | آيسيما | 122 | ايسيما | 122 | 0
aysu | آيسو | 87 | ايسو | 77 | 10
aysun | آيسون | 127 | ايسون | 127 | 0
ayşe | عائشة | 386 | ايشا | 312 | 74
ayşegül | عائشة كل | 436 | ايشاكول | 368 | 68
ayşen | عائشن | 431 | ايشان | 362 | 69
ayten | آيتن | 461 | ايتان | 462 | 1
azime | عظيمة | 1025 | ازيما | 59 | 966
azize | عزيزة | 99 | ازيزا | 26 | 73
azra | ازرا | 209 | ازرا | 209 | 0
bahaeddin | بهاء الدين | 104 | باهادين | 73 | 31
bahar | بهار | 208 | باهار | 209 | 1
bahattin | بهاء الدين | 102 | باهاتين | 469 | 367
banu | بانو | 59 | بانو | 59 | 0
baran | باران | 254 | باران | 254 | 0
barış | باريش | 513 | بارش | 503 | 10
barkın | باركن | 273 | باركن | 273 | 0
barlas | بارلاس | 294 | بارلاس | 294 | 0
başak | باشاك | 324 | باشاك | 324 | 0
batu | باتو | 409 | باتو | 409 | 0
batuhan | باتوهان | 465 | باتوهان | 465 | 0
bayram | بيرام | 253 | بايرام | 254 | 1
bedirhan | باديرهان | 273 | باديرهان | 273 | 0
bedrettin | بدر الدين | 301 | بادراتين | 668 | 367
bedri | بدري | 216 | بادري | 217 | 1
begüm | باكوم | 69 | باكوم | 69 | 0
behçet | بهجت | 410 | باهجات | 412 | 2
behiye | بهية | 22 | باهيا | 19 | 3
bekir | بكر | 222 | باكير | 233 | 11
belin | بالين | 93 | بالين | 93 | 0
belinay | باليناي | 104 | باليناي | 104 | 0
belkıs | بلقيس | 202 | بالكس | 113 | 89
berat | بارات | 604 | بارات | 604 | 0
berfin | بارفين | 343 | بارفين | 343 | 0
beril | باريل | 243 | باريل | 243 | 0
berk | بارك | 223 | بارك | 223 | 0
berkay | بركاي | 243 | باركاي | 234 | 9
berke | باركا | 224 | باركا | 224 | 0
berker | باركار | 424 | باركار | 424 | 0
berna | برنا | 253 | بارنا | 254 | 1
berra | بارا | 204 | بارا | 204 | 0
berrak | باراك | 224 | باراك | 224 | 0
berrin | برين | 262 | بارين | 263 | 1
beste | باستا | 464 | باستا | 464 | 0
beyhan | بيخان | 673 | بايهان | 69 | 604
beyza | بيضاء | 814 | بايزا | 21 | 793
bilal | بلال | 64 | بيلال | 73 | 9
bilge | بيلكا | 63 | بيلكا | 63 | 0
bilgehan | بلگه خان | 688 | بيلكاهان | 119 | 569
birsen | بيرسان | 323 | بيرسان | 323 | 0
bora | بورا | 209 | بورا | 209 | 0
boran | بوران | 259 | بوران | 259 | 0
bozkurt | بوزكورت | 641 | بوزكورت | 641 | 0
bulut | بولوت | 444 | بولوت | 444 | 0
burak | براق | 303 | بوراك | 229 | 74
burhan | برهان | 258 | بورهان | 264 | 6
buse | بوسة | 73 | بوسا | 69 | 4
büşra | بشرى | 502 | بوشرا | 509 | 7
cafer | جعفر | 353 | جافار | 285 | 68
can | جان | 54 | جان | 54 | 0
caner | جانر | 254 | جانار | 255 | 1
cansu | جانسو | 120 | جانسو | 120 | 0
casim | جاسم | 104 | جاسيم | 114 | 10
celal | جلال | 73 | جالال | 65 | 8
cem | جم | 43 | جام | 44 | 1
cemal | جمال | 73 | جامال | 75 | 2
cemil | جميل | 83 | جاميل | 84 | 1
cemile | جميلة | 88 | جاميلا | 85 | 3
cemre | جمره | 248 | جامرا | 245 | 3
cengiz | جنكيز | 90 | جانكيز | 91 | 1
cengizhan | جانكيزهان | 147 | جانكيزهان | 147 | 0
ceren | جيرن | 263 | جاران | 255 | 8
cevdet | جودت | 413 | جاودات | 415 | 2
cevriye | جوريه | 224 | جاوريا | 221 | 3
ceyda | جيدا | 21 | جايدا | 19 | 2
ceylan | جايلان | 95 | جايلان | 95 | 0
cihan | جهان | 59 | جيهان | 69 | 10
çağan | جاغان | 1055 | جاغان | 1055 | 0
çağatay | جاغاتاي | 1416 | جاغاتاي | 1416 | 0
çağla | جاغلا | 1035 | جاغلا | 1035 | 0
çağrı | جاغر | 1204 | جاغر | 1204 | 0
çelik | جاليك | 64 | جاليك | 64 | 0
çetin | جاتين | 464 | جاتين | 464 | 0
çınar | جنار | 254 | جنار | 254 | 0
çiğdem | جيغدام | 1058 | جيغدام | 1058 | 0
çilem | جيلام | 84 | جيلام | 84 | 0
